country_code,year,share_of_instudents,gdp,share_education_spending_gdp,mean_income,urban_rate,population_density,gdp_log,population_density_log,share_of_instudents_original,share_education_spending_gdp_original,mean_income_original,urban_rate_original
AUS,2016,17.48711,1342788338639,5.4303856,22740.1,0.8579999914844036,3.1630135,12.128007560989522,0.6194078192379663,17.48711,5.4303856,22740.1,0.8579999914844036
AUS,2018,18.2093925,1412931289385,5.409676,22989.55,0.8601199811338728,3.2656834,12.15012104269352,0.6299886188735138,26.50268,5.409676,22989.55,0.8601199811338728
AUT,2010,17.80005,504983520612,5.70048,22946.72,0.5739899686778255,101.37042,11.70327720579467,2.0101744850910985,17.80005,5.70048,22946.72,0.5739899686778255
AUT,2011,17.63254,519766751118,5.59227,22790.77,0.5711500119821589,101.711975,11.715808494735239,2.0116210801429486,17.63254,5.59227,22790.77,0.5711500119821589
AUT,2012,14.04076,523032165874,5.4804,22263.85,0.5714700051281194,102.176414,11.718528398298357,2.013580429458244,14.04076,5.4804,22263.85,0.5714700051281194
AUT,2013,16.75873,521720785391,5.54711,23297.1,0.5733599628199787,102.78007,11.717438139389099,2.0161139592920696,16.75873,5.54711,23297.1,0.5733599628199787
AUT,2014,15.47035,525663946270,5.44762,22909.87,0.5752600289526905,103.58473,11.720708191071097,2.0194682795518344,15.47035,5.44762,22909.87,0.5752600289526905
AUT,2015,15.89104,532516097228,5.45658,22826.48,0.5771500314890059,104.75081,11.7263327404339,2.0242837025452656,15.89104,5.45658,22826.48,0.5771500314890059
AUT,2016,16.34874,543790632789,5.47962,23883.75,0.5790500451659603,105.88851,11.735431722260948,2.0289310231527415,16.34874,5.47962,23883.75,0.5790500451659603
AUT,2017,17.18621,556146916098,5.37159,23569.23,0.5809400009047957,106.62603,11.745189533349617,2.0319173207560284,17.18621,5.37159,23569.23,0.5809400009047957
AUT,2018,17.49413,569962833838,5.22655,23801.41,0.5829700534617813,107.14556,11.755846537102514,2.0340086938436968,17.49413,5.22655,23801.41,0.5829700534617813
AUT,2019,17.64123,579965547379,5.21779,24250.79,0.5851499788286381,107.62088,11.763402195240236,2.0359133169393555,17.64123,5.21779,24250.79,0.5851499788286381
AUT,2020,17.9773,543321843521,5.57127,24141.81,0.5874799705367268,108.112,11.735057165608673,2.037872516373799,17.9773,5.57127,24141.81,0.5874799705367268
